,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,MEAN
Balliol,2,4,3,14,9,21,9,10,20,4,8,10,9,9,9.429
Brasenose,15,21,22,26,22,10,2,8,19,22,7,7,7,16,14.571
Christ Church,6,3,5,12,7,2,7,17,16,12,24,17,11,15,11.000
Corpus Christi,9,24,11,4,2,16,20,24,13,10,15,15,14,13,13.571
Exeter,25,25,20,18,27,9,11,28,14,20,25,25,20,27,21.000
Harris Manchester,31,31,25,31,31,31,25,5,8,14,11,27,31,11,22.286
Hertford,17,9,18,6,12,5,23,18,7,11,20,24,28,17,15.357
Jesus,18,13,8,16,10,8,15,14,4,15,14,18,6,10,12.071
Keble,26,17,14,13,28,20,8,27,18,9,17,12,22,19,17.857
Lady Margaret Hall,19,22,30,21,20,22,29,31,26,28,23,16,23,22,23.714
Lincoln,8,8,9,8,15,15,6,7,10,5,19,31,21,14,12.571
Magdalen,3,2,4,3,1,4,1,6,9,1,3,11,2,4,3.857
Mansfield,29,28,23,28,30,12,16,15,25,17,29,14,19,5,20.714
Merton,1,1,1,2,3,1,14,4,1,25,1,2,4,1,4.357
New College,3,5,6,5,5,3,3,1,3,2,18,1,5,3,4.500
Oriel,28,29,15,24,11,30,13,9,23,16,2,21,12,8,17.214
Pembroke,23,10,26,23,17,13,30,13,31,31,13,3,26,20,19.929
Queen's,11,16,7,10,16,24,21,26,29,26,30,5,17,7,17.500
Somerville,16,20,28,19,24,26,27,29,27,27,16,22,24,21,23.286
St Anne's,21,15,13,20,18,18,24,12,12,8,26,19,25,28,18.500
St Catherine's,20,23,24,17,14,25,10,21,11,6,10,26,3,2,15.143
St Edmund Hall,13,13,19,27,23,28,28,16,28,29,21,23,30,29,23.357
St Hilda's,22,27,29,30,21,18,22,20,21,18,27,29,14,25,23.071
St Hugh's,24,26,10,22,19,23,19,23,15,24,22,20,29,30,21.857
St John's,5,6,2,1,4,11,4,3,5,7,12,6,1,6,5.214
St Peter's,27,19,21,25,26,29,26,22,22,23,28,28,16,23,23.929
Trinity,12,7,12,11,25,17,18,2,17,19,5,9,10,26,13.571
University,10,12,17,7,6,14,17,25,24,21,4,8,18,12,13.929
Wadham,7,18,16,9,13,7,4,19,6,3,6,13,8,18,10.500
Worcester,14,11,27,15,8,6,12,11,2,13,9,4,13,24,12.071
Regent's Park,30,30,31,29,29,27,31,30,30,30,31,30,27,31,29.714
